,class,tweet
6540,0,laceeybugg atleast wipe ass trashy bitch
15980,0,rt kenaiviveros ima bitch lol versharky
9429,0,girl dont hide pussy type provide pussy
12607,0,lol life made hoe
21314,0,tellin im disrespectful aint one callin everybody bitch free
8224,0,bull color schemesdull stupid bitch duke wears bold pastel colorsbull makes sense
14680,0,rt chiefkeef niggaz get emotionaaaal remind bitch
705,0,#fact rt keyshbechillin kanye best good piece pussy fucks
23214,0,faggot bring jacket work keep ya desk b c office cold
18357,0,rt _tymoore watching raven look negro lol http tco necakytdi1
14125,0,rt airsimba9 treslyon keyair angels female party promoters party promoters hoes angel bitches
3825,0,kimberlyyaye leslieeeixta think job toodles bitches
17850,0,rt trillzo_qmg girls good pussy possessed demons fact
20815,0,shouts goth bitches
18986,0,rt exlibris embarrassment bitches
6445,0,kieffer_jason bitch must flew u head cuz u didnt show plano senior high school plano tx fuck boy
1139,0,betteraretulips girls fucking retarded back started cramping man double ds
5262,0,zayyswanson _emanimilan im jus tryn figure dem niccas together like dat
169,0,laflaregodjosh gucci mane jail dropping mixtapes every month hoes cant even text back
18066,0,rt whoapollo wcw goes women shit together pretty bitches get way much credit cute w
10908,0,support niggaz bitches dope shit west side city la
2779,0,carelessone92 weeknd make muzik hoes b im tryna meet women talkin bout
4024,0,marcfoor4 bitch get
10226,0,dont like bitch
16818,0,rt optimisticdoom fuck tranny porn hermaphrodite porn
12453,0,lil bitch dumb
1447,0,norapist using mx + b measure slope ass girl mckinley719
22486,0,watch twitter bitch
3739,0,justin_baez shut fuck faggot ass knicks cock sucker opinion irrelevant fag
23545,0,aint bitch mimi still wit gay ass nikko
6862,0,prihncess bitch
21181,0,stop trying honky http tco 0malbndkn9
4071,0,meeeesh1395 damn makin bitches jealous reality twitter facebook prolly mad bc pic posted wouldnt taken joke
7915,0,bad bitches every
2856,0,chrisworldpeace guess makes us blacks double niggers huh
17601,0,rt thadisreal ladies nigga always wanna go party every weekend basically side hoe shopping
20148,0,rt thecoreyholcomb man happy next relationship fucked ways blessing bitch
11085,0,wish reason buy suit wedding clearly bitches dont know
17221,0,rt scottlinnen saw man yellow trench coat matching fedora iwatch dick
7530,0,aint nothing funnier watching woman try hide inner hoe know like get hit back fingernvm
11499,0,dollar every time someone called maggie id make rain hoes
7625,0,hoes crazy rt mr_niceeeguy thick thighs skinny waist natural beauty face
12500,0,lmao funniest way disrespect person calling itty bitty bitch makes feel low life
8723,0,la mulatta refer darkie thejournalista huny gwarbucks tygress
15125,0,rt erudite1914 juice dead bitch ass #sonsofanarchy
11832,0,ion give fuck ion give fuck ion ion ion give fuck bitch dont give fuck anything
20717,0,bitch goddess thinks owns new york wait midnight #lameapocalypses
7510,0,watching desolation smaug come conclusion bilbo made hobbits look like bitches lotr
6424,0,kieffer_jason done acting like little bitch 5 year old nephew realer scary ass sunset time u dumb fuck
23847,0,geekylesbianscientists theblairbetch douglasrichardsonships kaylabird okay consider though http tco zahyxtavvo
19161,0,rt idntwearcondoms stop wasting texts bitches aint tryna fuck u
9369,0,gabby hella ghetto
19175,0,rt ih8tvvitterhoes kim k got bitches thinkin hoe career health care benefits
21430,0,son bitch moment open fridge food
14235,0,rt asshole_god hate fags answers yes
738,0,#minnesota full white trash
21823,0,lil hoes sitting across da way fuckin loud like damn hoe sittin less 2 feet shut hell
11326,0,im manhoe tho
10375,0,got rhythm stroke patterns im bout nut still bitch
1691,0,aerinblazin im 2 much niggas 3 much hoes
4552,0,rniswirvinn lilkev_j ur wrong stupid nigger
12921,0,mrnvr get pussy u virginnnn
6648,0,mayhemmiller faggot
19139,0,rt icumnpeace niggas talk bitches days
5460,0,abbey_kuck whooped ass turnin pussy
10692,0,lost think youre good paper bitch fell bed fell bed slept floor
20132,0,rt theroyallife ha ha real name hasean yall get ghetto ass names
8877,0,dudes faggot pahahaha
17613,0,rt thatguybryant28 still greatest tweet ever rt djzeeti bitches run emotion logic bitch say 1+13 number
20425,0,rt yungturd miley cyrus macklemore adam levine got together n like lets gets retarded fucking hair cuts ever
11406,0,im sure afp would add helpful parenthetical explanation redneck peckerwood teabaggers https tco zkqg5wfe5r
11033,0,want independent soon dont like depending people makes feel like bitch
23983,0,hate manager much makes wanna throw silverware stupid bitch ass
3659,0,jfromhuntington thatupsdude hates interject cans yo digits likes wiggers dat wanna fucked coloreds
16046,0,rt kingryin rip robin williams im gonna fuck baddest bitch tonight bruh
16852,0,rt prettygirlneice yes mimi bitch yo dumb ass got played
18344,0,rt _tjl0326 jnh_54 pussy wet hear shit smacking
21370,0,bitch hollerin abt fuck nahh fuck dat bitch
23063,0,ya bitch wnna ride
1669,0,__tharealist dis hoe bri fuck wet dream pop dream like http tco asiqg6ebpb
2108,0,niggahs bitches call momma tell come getemm either shoot shoot whoever
14200,0,rt anointed_mouf would happy many bitches would humbled rt djdmt would feel discontinued sale weave
6640,0,marylene58 sunflower1790 shelliecorreia jan4usa niggress thinks shes human
19862,0,rt prettyne___ bitches fail realize niggas dont really moving still fucking bitch
8901,0,dyke pastors lords house tryna cuff pussy bruh bruh
223,0,renegademo fat hoes get chose lol
8057,0,bitches ah baby like dont claim child bitch good goddamn well aint nobody claiming creature
8140,0,yall pussy son beat http tco cbnjo5wj
5332,0,_marzzz nigger
21975,0,bitch stupid anti feminist http tco vsgcwtn4j6 via youtube #dumbass #blndsundoll4mj
13402,0,summer school eat dick school im done bitch ass
11249,0,im cold bitch dont even need fleece bad bitch tell drop yo knees
10533,0,hoes man dont need though
19858,0,rt prettykells 100046729 leelucas_ prettykells bitch didnt feed asked buy burger lmfaoooooo
6582,0,littlecball austinmahone robert bc one cussing like tomorrow bc hes pussy
23601,0,bahaha karma bitch
23442,0,want couch playing video games see friends pussy reach bae
4053,0,maxdelacruz8 thx hoe
8771,0,thang shoutout real bitch
17249,0,rt sexualtruth jesus turns water wine instagram turns busted bitches dimes
21719,0,bitches crazzzyyyyyy
18255,0,rt _breddifferent niggas fuck yah good eat ya pussy go home bitch like aint shit happen
20302,0,rt warningfragile everyone always says girls really bitchy boys fucking inconsiderate bitchy cunts actually disgu
10157,0,could blank sons bitches #getatme #goofy #fuckmongo #naynayismongo
24532,0,yall tweet trusting hoes like shit aint common sense already
7636,0,break ups gon crazy hoe free agency summer #doyourgoogles
11394,0,im sorry makes feel free like fucking majestic bird #gotonelessproblemwithoutya http tco ekfovvcwht
7168,0,theshardyrebel #faggot
12077,0,joe budden always flexin average twitter niggas wit pool parties n bitches nigga cant compete wit otha rap niggas
19502,0,rt leandr321 lowkey hoes life l
12519,0,lmaoo rt de_la_david jaetips bruh make song called uber hook uber make pussy wet
24550,0,niggas bitchin tell em suck sumn bitches see vision tell em fuck sumn
22905,0,thirsty bitches trying hit slide kik lmfaoo
18530,0,rt alec_tiano vinnyrants happy birthday fag boy
3970,0,lupefiasco talibkweli name group called mob moaning old bitches
19980,0,rt sblmnl_crmnl woods_lamar shut nigger ass lamar
1227,0,drmalvo woods_lamar http tco chnxcplzwrhidey hidey hoe white folk noyvous round coloreds
24692,0,cant girls admit want dick much us guys want pussy human nature duhh
20825,0,shut bitch wasnt gonna roast
10711,0,love fuckin wit people givin greedy ass nigas old crackers wit expired cheese dey callin like nigga im shittin likea goose
3622,0,jawshoeeahhh keepitplur bitch beat losing twice lol 11 hater
19977,0,rt savethesehos bitch skechers light http tco vqluspyqmo
8242,0,busted lip playing ball cant enjoy pussy delicious mango
5358,0,_triggaplease_ kanyewest hes faggot
11091,0,wish bitch could
981,0,snapbackblac seen thot ass bitch high top whites
6243,0,jennaferjenbub nice profile pic fag
6487,0,kiela_g_3 alright fag http tco 5ht61nmjj3
11470,0,idgaf u get long u go hard sell drugs credit cards checks strip sell pussy whatever jst dnt b halfassed
21124,0,speaking rt kinghorsedick lot backpage hoes dont like fucking black guys never went thru
11602,0,viagra bitches itd called niagra
6611,0,mabathoana garbage rappers cant learn like teaching advanced algebra retard
24395,0,rt u remember steve blue clues left us bitch ass nigga joe http tco jxtvd6dvdu
21653,0,queer ass shorts rabchenko got
21111,0,sorry hoes love stand legs open easy
19792,0,rt ohhshedopee wont love cant love youunless pussy got super powers
9906,0,woman take u serious youre hoe mean rt bamaboyybrandon nigga take serious youre hoe lol like
13354,0,niggas trash af
17375,0,rt soulyodeler go ahead mock one day ill sell enough makeup drive pink mary kay cadillac well see whos gay
2107,0,hoes finna like owieee trey august chris brown baby time lmfaooooooo hoes aint loyal
4758,0,stephyrae7 faggot
2556,0,barbod6fcb gonna shut shit bitch u get yo punk ass hoe ass nigga
18605,0,rt b0ujib00ty feel like main reason bitches still stank pus 2014 genuinely dont know wash prope
16511,0,rt mostdope6995 shit could break lose good girl guess need bad bitch come around make
9607,0,ha bitch
24519,0,niggas twitter like eat pussy yada yada niggas stis shit
16167,0,rt leanandcuisine wish flying nimbus picked hoes could tell pure hearted bitch hoe gon drop
20889,0,slut aint playin go find white crayon color fuckin zebra
21738,0,bitches really marry rich ass niggas
2545,0,bam_n_deymouth already know ima keep trillahappy bday lha bitch love yu nigga
4649,0,sayitaintchey bitch rting hella cheese tweets right said lactose intolerant gotta c
6410,0,kieffer_jason sbsylvester bitch yall come town east mall u bitch fuck boys
833,0,#firefighter job white trash
18281,0,rt _foreverfamous_ vintage_monroe_ vineforthebyrd girlfriends like https tco qm5xdxnqynbitch dont want
1743,0,darkkskys bitches set hoppin like bitch get life u get beat lmao
1036,0,ugly bitches get love
6505,0,kingjvsh bitch lol
22675,0,fat bitch want skinny bitch cant cook nothin hoes aint hungry
16056,0,rt kinloch_bang yall hoes yall plastic ass bodies maaaaan smh
4046,0,matthometeam know faggot literally thousands people radar homo
17032,0,rt ranger1325 im waiting little bitches whined bush start speaking obama wars #syria
5740,0,chvrlesgoldie like hov said ghetto b lol
23224,0,pussy dawg pipe_tyson
11099,0,wish bitch ass mother would give 5grand forchild support fuckin bitch
6945,0,rowboy_quest promotion thats hoe ya http tco tpnmbd6z
23395,0,poor soul rt vicd713ent cuz fat bitches thing like
16982,0,rt rbk_steviej dont respect nun bitch cause idgaf bout des hoes
14904,0,rt daedeezyy ion ask nobody shit ever never problem shit fa people neither damn bitch get thank
3450,0,ihop fucking pussy
13902,0,pressed pussy get many freebies
18769,0,rt chvrchs rapper name would nigger
9706,0,bitch come handy times like
9039,0,face yo bitch could love http tco ockxaythak
18523,0,rt airam12_ t_rev_13 bitches dumbbbb everywhere trev
